sample_id,crop_type,state,season,soil_type,temperature_celsius,humidity_percent,rainfall_mm,soil_ph,nitrogen_kg_ha,phosphorus_kg_ha,potassium_kg_ha,wind_speed_kmh,sunlight_hours,leaf_wetness_hours,field_area_hectares,days_after_sowing,irrigation_type,prev_disease_history,disease_label,severity_score,severity_label,treatment_cost_inr,yield_loss_percent
FDP-00869,Wheat,West Bengal,Kharif,Black Cotton,19.6,87.8,266.15,5.59,39.7,36.7,36.3,8.5,9.1,11.3,4.26,87,Sprinkler,0,Root Rot,0.363,Mild,1930,6.8
FDP-00870,Barley,Maharashtra,Rabi,Sandy,23.9,54.7,79.25,6.65,76.0,56.8,76.3,13.2,11.5,4.9,10.05,93,Sprinkler,1,Healthy,0.064,None,0,0.0
FDP-00871,Sugarcane,Karnataka,Rabi,Clay,31.4,73.0,105.87,5.74,42.1,30.8,42.2,17.2,4.4,15.2,6.59,56,Flood,1,Fusarium Wilt,0.622,Moderate,6911,28.2
FDP-00872,Maize,Andhra Pradesh,Zaid,Sandy Loam,23.8,95.3,179.89,5.44,35.8,36.6,43.6,19.6,11.3,8.0,10.88,75,Drip,0,Anthracnose,0.771,Severe,21538,64.5
FDP-00873,Sugarcane,Punjab,Rabi,Silty Clay,32.1,78.1,131.48,5.56,48.1,44.9,44.1,6.3,8.1,10.0,21.97,115,Furrow,0,Bacterial Wilt,0.322,Mild,1875,11.7
FDP-00874,Soybean,Gujarat,Zaid,Loam,23.6,45.1,94.99,6.87,77.8,58.2,61.8,6.3,10.2,9.1,9.1,37,Drip,0,Healthy,0.046,None,0,0.0
FDP-00875,Sugarcane,Tamil Nadu,Kharif,Clay,26.6,85.9,246.35,6.14,49.5,36.8,47.1,22.6,6.2,5.6,7.91,17,Sprinkler,1,Anthracnose,0.434,Mild,1756,14.4
FDP-00876,Tomato,Rajasthan,Kharif,Sandy,15.5,86.3,268.19,6.68,49.3,29.7,48.1,23.5,6.1,3.5,2.7,19,Rainfed,1,Downy Mildew,0.933,Severe,14851,45.2
FDP-00877,Soybean,Madhya Pradesh,Kharif,Red Laterite,27.4,70.8,111.52,5.24,46.8,23.5,42.8,8.0,6.0,17.4,0.7,87,Flood,1,Fusarium Wilt,0.686,Moderate,7405,38.5
FDP-00878,Sorghum,Punjab,Zaid,Clay,33.0,76.6,145.64,6.19,47.9,47.8,39.5,15.5,6.5,10.4,18.4,90,Drip,0,Bacterial Wilt,0.389,Mild,1667,17.8
FDP-00879,Potato,Karnataka,Kharif,Red Laterite,25.2,64.4,74.49,6.91,46.0,40.7,46.6,2.5,4.4,17.2,3.99,17,Furrow,1,Mosaic Virus,0.918,Severe,8064,77.8
FDP-00880,Wheat,Odisha,Rabi,Sandy,20.2,73.2,123.54,6.26,46.7,46.2,52.2,23.7,10.2,11.2,11.65,67,Drip,1,Rust Disease,0.776,Severe,23289,62.3
FDP-00881,Wheat,Uttar Pradesh,Zaid,Clay,20.8,86.9,297.17,6.11,36.7,31.7,30.1,21.2,4.2,15.2,3.94,50,Furrow,1,Root Rot,0.614,Moderate,2042,29.8
FDP-00882,Sorghum,Maharashtra,Kharif,Black Cotton,29.8,83.9,189.0,6.31,41.9,32.0,44.3,21.8,7.2,7.8,4.66,103,Drip,1,Leaf Blight,0.942,Severe,14451,50.8
FDP-00883,Rice,Gujarat,Kharif,Sandy,31.6,81.3,186.51,6.22,51.7,36.2,51.4,20.4,5.1,2.9,23.09,118,Furrow,0,Leaf Blight,0.858,Severe,18954,74.4
FDP-00884,Sugarcane,Odisha,Kharif,Loam,22.4,54.7,124.88,6.65,89.9,55.6,78.9,7.6,9.8,8.1,24.54,21,Furrow,1,Healthy,0.079,None,0,0.0
FDP-00885,Sorghum,Telangana,Zaid,Sandy,26.0,86.6,191.81,6.46,46.9,42.3,46.2,7.2,5.6,8.2,19.01,27,Furrow,1,Anthracnose,0.387,Mild,624,18.8
FDP-00886,Rice,Jharkhand,Kharif,Sandy Loam,25.8,68.0,58.92,6.95,47.9,47.4,58.1,2.3,5.4,12.1,15.5,117,Drip,1,Powdery Mildew,0.511,Moderate,7129,30.8
FDP-00887,Wheat,Madhya Pradesh,Zaid,Sandy Loam,23.9,55.8,112.76,7.02,83.3,47.1,69.0,22.3,7.4,15.3,14.96,63,Drip,1,Healthy,0.062,None,0,0.0
FDP-00888,Sorghum,Uttar Pradesh,Zaid,Silty Clay,21.1,61.7,37.02,6.16,61.0,46.3,51.8,3.7,4.8,8.1,7.98,73,Rainfed,1,Powdery Mildew,0.857,Severe,11318,56.9
FDP-00889,Wheat,Rajasthan,Rabi,Silty Clay,24.7,90.3,205.03,6.54,41.5,42.6,47.8,21.1,6.9,2.7,17.01,90,Drip,0,Anthracnose,0.372,Mild,1718,15.7
FDP-00890,Tomato,Karnataka,Zaid,Clay,21.2,74.9,115.21,6.37,45.6,42.3,54.8,20.8,8.1,9.4,23.3,80,Sprinkler,1,Rust Disease,0.595,Moderate,7936,35.5
FDP-00891,Maize,Haryana,Kharif,Sandy Loam,25.4,53.7,106.72,6.29,78.0,50.1,78.5,22.6,7.3,1.3,21.61,54,Furrow,1,Healthy,0.096,None,0,0.0
FDP-00892,Potato,Telangana,Zaid,Silty Clay,15.9,91.4,162.38,6.48,45.5,26.3,41.5,22.8,11.0,5.0,2.49,33,Rainfed,0,Downy Mildew,0.516,Moderate,4809,27.3
FDP-00893,Barley,Karnataka,Zaid,Black Cotton,26.5,75.8,117.96,5.51,44.8,27.9,42.3,3.3,5.7,18.0,11.11,33,Flood,0,Fusarium Wilt,0.655,Moderate,6583,41.5
FDP-00894,Tomato,Jharkhand,Kharif,Black Cotton,22.4,55.5,55.73,7.5,64.8,52.9,54.5,15.9,7.1,10.5,14.63,40,Sprinkler,0,Powdery Mildew,0.433,Mild,1474,15.4
FDP-00895,Sorghum,Odisha,Zaid,Loam,28.4,64.2,98.69,4.94,41.9,41.9,39.3,11.6,10.3,10.3,13.9,89,Furrow,1,Fusarium Wilt,0.51,Moderate,4692,24.1
FDP-00896,Wheat,Jharkhand,Rabi,Clay,23.5,59.3,44.22,7.23,57.7,40.8,65.0,14.5,10.7,16.0,4.43,15,Flood,0,Powdery Mildew,0.627,Moderate,3746,26.0
FDP-00897,Cotton,Maharashtra,Zaid,Sandy,28.8,72.4,142.14,6.04,42.7,43.5,46.8,10.6,5.1,13.1,21.44,66,Drip,0,Bacterial Wilt,0.554,Moderate,2604,28.9
FDP-00898,Maize,Maharashtra,Rabi,Sandy,22.3,93.9,264.02,6.12,40.7,35.3,33.4,22.8,8.1,11.1,17.85,95,Drip,1,Root Rot,0.983,Severe,14524,51.9
FDP-00899,Potato,Rajasthan,Zaid,Clay,24.9,58.2,63.47,6.39,84.5,60.1,74.0,6.1,9.8,14.8,17.14,85,Flood,0,Healthy,0.02,None,0,0.0
FDP-00900,Potato,Odisha,Kharif,Sandy Loam,25.1,57.6,133.56,6.81,81.8,49.8,66.5,22.0,7.5,14.7,6.95,101,Rainfed,0,Healthy,0.065,None,0,0.0
FDP-00901,Cotton,Bihar,Kharif,Loam,27.0,64.1,99.56,6.65,52.1,32.6,51.1,20.0,5.2,12.0,22.98,45,Sprinkler,1,Mosaic Virus,0.763,Severe,22212,75.7
FDP-00902,Maize,Maharashtra,Kharif,Red Laterite,24.2,56.6,109.59,6.68,76.9,62.1,73.8,16.7,9.3,8.0,1.59,39,Sprinkler,1,Healthy,0.032,None,0,0.0
FDP-00903,Tomato,Andhra Pradesh,Kharif,Red Laterite,24.1,65.3,59.39,6.98,51.6,41.7,59.1,13.8,5.0,4.7,16.58,90,Furrow,0,Powdery Mildew,0.506,Moderate,3217,28.2
FDP-00904,Potato,West Bengal,Kharif,Red Laterite,25.6,57.1,93.71,7.06,76.4,53.2,66.9,2.8,7.1,16.4,6.36,89,Flood,1,Healthy,0.073,None,0,0.0
FDP-00905,Sorghum,West Bengal,Kharif,Clay,15.7,89.8,143.03,6.63,47.0,43.1,40.3,23.4,11.3,13.2,22.17,64,Rainfed,1,Downy Mildew,0.663,Moderate,3466,28.0
FDP-00906,Sugarcane,Bihar,Zaid,Sandy,20.0,55.0,34.7,7.51,69.4,33.0,54.8,24.7,10.6,8.4,18.32,49,Furrow,1,Powdery Mildew,0.755,Severe,14789,52.7
FDP-00907,Tomato,Madhya Pradesh,Rabi,Clay,24.2,51.3,81.32,6.32,87.0,47.7,71.6,23.9,12.0,7.3,7.82,69,Furrow,1,Healthy,0.016,None,0,0.0
FDP-00908,Potato,Haryana,Zaid,Sandy Loam,28.5,71.1,104.77,6.6,63.0,49.5,54.1,17.8,4.2,6.7,4.04,111,Sprinkler,0,Mosaic Virus,0.611,Moderate,4880,25.8
FDP-00909,Barley,Gujarat,Zaid,Loam,25.5,51.7,115.65,6.37,70.0,61.2,66.7,13.6,6.2,17.1,11.86,72,Rainfed,1,Healthy,0.041,None,0,0.0
FDP-00910,Cotton,Uttar Pradesh,Rabi,Sandy,14.7,90.2,195.58,6.89,39.8,37.7,36.6,19.8,11.4,5.4,8.7,37,Flood,1,Downy Mildew,0.486,Mild,655,10.4
FDP-00911,Barley,Karnataka,Zaid,Silty Clay,26.3,52.2,99.77,6.47,78.0,54.9,72.6,23.8,12.0,7.4,15.18,25,Flood,1,Healthy,0.01,None,0,0.0
FDP-00912,Wheat,Rajasthan,Zaid,Clay,23.3,49.1,127.95,6.64,71.2,61.5,66.8,7.8,6.5,3.1,21.68,40,Sprinkler,1,Healthy,0.03,None,0,0.0
FDP-00913,Potato,Andhra Pradesh,Kharif,Black Cotton,21.5,89.2,135.81,7.0,51.1,31.2,40.3,9.1,7.8,8.6,17.86,32,Drip,1,Downy Mildew,0.839,Severe,17235,73.8
FDP-00914,Soybean,Andhra Pradesh,Rabi,Red Laterite,17.3,95.0,242.61,6.17,53.5,31.7,35.7,9.1,11.9,14.8,4.53,111,Rainfed,0,Downy Mildew,0.758,Severe,12891,75.3
FDP-00915,Tomato,West Bengal,Rabi,Clay,24.2,51.2,119.06,6.78,74.4,64.7,71.3,20.6,10.7,16.5,12.98,90,Rainfed,1,Healthy,0.034,None,0,0.0
FDP-00916,Tomato,Tamil Nadu,Rabi,Red Laterite,20.8,49.7,105.61,6.36,82.7,73.0,63.4,7.9,4.4,1.2,1.04,68,Rainfed,0,Healthy,0.045,None,0,0.0
FDP-00917,Cotton,Odisha,Kharif,Silty Clay,18.7,84.5,254.33,5.15,40.0,34.2,37.7,18.4,9.8,12.3,21.83,31,Drip,1,Root Rot,0.65,Moderate,7397,40.9
FDP-00918,Soybean,Telangana,Rabi,Black Cotton,27.1,83.4,200.81,6.73,43.6,43.8,47.0,7.2,7.8,3.3,10.18,66,Sprinkler,1,Leaf Blight,0.711,Moderate,6649,39.6
FDP-00919,Maize,Karnataka,Rabi,Silty Clay,24.2,82.9,188.03,5.86,48.1,28.1,39.1,19.4,6.5,16.7,16.59,117,Rainfed,1,Anthracnose,0.443,Mild,1300,6.0
FDP-00920,Sugarcane,Andhra Pradesh,Kharif,Loam,23.6,67.1,46.9,6.81,65.8,50.5,56.4,5.8,4.3,8.7,20.13,72,Drip,1,Powdery Mildew,0.42,Mild,1882,13.3
FDP-00921,Sorghum,Haryana,Rabi,Sandy Loam,25.1,52.6,84.42,6.77,89.3,63.0,70.2,22.4,9.4,17.7,2.04,40,Rainfed,0,Healthy,0.028,None,0,0.0
FDP-00922,Barley,Uttar Pradesh,Kharif,Sandy,24.7,55.0,94.47,6.83,83.2,53.3,71.1,14.2,6.9,14.5,19.07,62,Flood,0,Healthy,0.033,None,0,0.0
FDP-00923,Soybean,Haryana,Kharif,Sandy Loam,24.3,88.8,237.97,6.47,47.3,38.3,54.0,21.0,11.5,14.7,10.95,83,Rainfed,1,Anthracnose,0.82,Severe,20746,78.4
FDP-00924,Maize,Gujarat,Kharif,Loam,24.5,69.9,101.77,6.37,54.7,39.1,54.4,7.6,6.4,10.5,10.25,119,Flood,1,Mosaic Virus,0.723,Moderate,4542,34.7
FDP-00925,Sugarcane,Uttar Pradesh,Rabi,Clay,19.3,88.2,249.93,5.14,30.2,25.0,31.4,3.5,11.8,12.6,10.73,33,Drip,1,Root Rot,0.877,Severe,16088,63.4
FDP-00926,Sugarcane,Andhra Pradesh,Rabi,Sandy,25.6,91.8,221.56,5.96,56.3,36.2,47.3,23.3,8.8,4.5,23.03,20,Sprinkler,0,Anthracnose,0.752,Severe,22952,57.1
FDP-00927,Potato,Odisha,Rabi,Silty Clay,28.1,62.6,85.23,6.91,59.8,40.2,43.2,17.9,8.5,2.3,4.48,118,Rainfed,0,Mosaic Virus,0.474,Mild,1765,16.0
FDP-00928,Maize,Punjab,Zaid,Silty Clay,22.7,54.0,45.73,6.87,69.0,47.3,52.2,4.1,5.0,5.1,21.56,65,Flood,0,Powdery Mildew,0.92,Severe,13175,54.6
FDP-00929,Potato,Tamil Nadu,Zaid,Sandy Loam,18.0,70.5,154.68,6.35,53.1,41.0,54.2,17.6,11.6,9.7,22.89,107,Rainfed,0,Rust Disease,0.588,Moderate,6528,23.0
FDP-00930,Rice,Telangana,Zaid,Red Laterite,30.5,78.4,159.69,5.76,63.5,42.5,42.7,4.2,6.6,7.6,15.75,56,Rainfed,1,Leaf Blight,0.415,Mild,924,12.6
FDP-00931,Rice,Karnataka,Zaid,Black Cotton,23.2,59.5,58.27,6.97,48.3,46.0,51.8,11.0,8.7,5.7,4.79,110,Rainfed,1,Powdery Mildew,0.541,Moderate,5271,41.4
FDP-00932,Wheat,Tamil Nadu,Rabi,Sandy Loam,23.1,58.1,57.4,6.94,62.8,43.8,58.8,7.6,10.2,10.0,23.24,32,Rainfed,1,Powdery Mildew,0.639,Moderate,2558,22.1
FDP-00933,Sugarcane,Odisha,Kharif,Sandy,21.7,74.0,127.62,6.24,51.9,44.0,55.6,3.7,10.7,4.0,2.23,50,Flood,0,Rust Disease,0.887,Severe,11293,51.2
FDP-00934,Soybean,Karnataka,Kharif,Sandy Loam,22.9,58.5,69.01,6.58,79.4,62.7,80.5,12.3,6.5,9.5,8.8,112,Sprinkler,0,Healthy,0.015,None,0,0.0
FDP-00935,Tomato,Jharkhand,Zaid,Sandy Loam,30.5,89.1,178.02,6.51,53.9,35.0,39.3,16.3,6.9,15.4,11.61,101,Rainfed,0,Leaf Blight,0.788,Severe,11368,58.7
FDP-00936,Wheat,Uttar Pradesh,Zaid,Sandy Loam,30.5,80.5,181.72,6.3,49.7,35.0,49.8,8.4,6.6,12.1,19.05,113,Flood,1,Leaf Blight,0.95,Severe,20276,76.8
FDP-00937,Wheat,Uttar Pradesh,Rabi,Sandy Loam,25.1,59.4,95.54,7.08,81.2,53.2,82.3,23.4,7.4,6.6,24.44,58,Drip,0,Healthy,0.022,None,0,0.0
FDP-00938,Maize,Uttar Pradesh,Zaid,Clay,28.7,63.0,110.2,6.15,48.2,48.2,51.0,6.4,8.4,1.4,19.22,68,Sprinkler,0,Mosaic Virus,0.526,Moderate,7134,24.7
FDP-00939,Barley,Punjab,Rabi,Sandy,28.1,57.5,96.66,6.65,86.9,73.2,76.4,8.3,6.0,3.3,21.3,44,Drip,0,Healthy,0.036,None,0,0.0
FDP-00940,Soybean,Uttar Pradesh,Zaid,Loam,28.6,47.5,107.36,6.79,79.0,65.4,78.2,11.4,6.1,17.7,20.03,64,Rainfed,0,Healthy,0.022,None,0,0.0
FDP-00941,Potato,Rajasthan,Zaid,Silty Clay,21.4,72.7,104.04,6.5,45.0,40.7,54.4,8.2,10.6,17.9,2.38,20,Flood,0,Rust Disease,0.588,Moderate,6905,32.5
FDP-00942,Barley,Madhya Pradesh,Zaid,Clay,28.0,77.0,117.49,5.72,46.9,28.8,29.7,15.7,11.8,6.6,23.12,27,Rainfed,1,Fusarium Wilt,0.775,Severe,12355,56.6
FDP-00943,Cotton,Punjab,Zaid,Sandy,19.3,85.0,90.55,6.43,49.1,40.5,50.7,19.5,8.9,2.7,21.38,57,Furrow,0,Rust Disease,0.938,Severe,22709,58.4
FDP-00944,Tomato,Tamil Nadu,Zaid,Silty Clay,18.7,77.4,122.07,6.0,55.5,55.1,50.3,2.7,4.1,3.2,6.67,16,Drip,0,Rust Disease,0.731,Moderate,3016,27.7
FDP-00945,Tomato,Uttar Pradesh,Zaid,Sandy Loam,30.4,66.1,148.1,5.9,34.3,41.9,36.2,10.7,9.0,10.3,6.16,32,Rainfed,1,Bacterial Wilt,0.508,Moderate,3242,29.4
FDP-00946,Tomato,Bihar,Zaid,Silty Clay,19.4,80.7,88.51,6.35,55.9,30.5,57.2,10.4,11.0,1.7,24.71,109,Flood,1,Rust Disease,0.495,Mild,1818,16.8
FDP-00947,Soybean,Madhya Pradesh,Zaid,Red Laterite,27.1,57.2,101.72,6.64,73.5,59.7,73.8,14.6,7.3,2.2,18.0,111,Flood,0,Healthy,0.085,None,0,0.0
FDP-00948,Tomato,Uttar Pradesh,Kharif,Silty Clay,29.5,86.1,213.12,5.55,52.9,29.2,50.4,23.6,8.7,6.3,11.52,100,Flood,0,Leaf Blight,0.726,Moderate,5125,33.0
FDP-00949,Wheat,Bihar,Kharif,Red Laterite,24.2,54.2,116.92,6.46,86.8,55.7,72.4,3.6,4.1,16.3,14.74,23,Drip,0,Healthy,0.063,None,0,0.0
FDP-00950,Tomato,Haryana,Kharif,Sandy Loam,24.2,47.4,88.67,6.8,96.0,54.2,83.6,13.3,9.5,2.7,8.54,90,Flood,0,Healthy,0.051,None,0,0.0
FDP-00951,Sugarcane,Tamil Nadu,Rabi,Clay,22.9,53.0,49.24,7.5,55.9,46.1,47.6,16.1,11.8,2.9,5.7,40,Rainfed,0,Powdery Mildew,0.424,Mild,1009,9.5
FDP-00952,Tomato,Telangana,Rabi,Red Laterite,20.6,77.5,119.42,6.33,53.8,49.1,56.4,19.9,8.3,14.6,15.1,76,Sprinkler,0,Rust Disease,0.579,Moderate,3374,31.8
FDP-00953,Sorghum,Telangana,Zaid,Sandy,24.0,50.8,63.05,7.05,59.7,49.1,55.5,19.9,7.0,1.7,9.4,34,Drip,1,Powdery Mildew,0.833,Severe,22004,74.9
FDP-00954,Potato,Haryana,Zaid,Silty Clay,16.5,86.9,208.96,6.56,49.8,29.9,37.0,19.0,8.8,12.4,10.03,85,Sprinkler,0,Downy Mildew,0.566,Moderate,4505,31.3
FDP-00955,Sorghum,Rajasthan,Rabi,Sandy Loam,23.5,60.0,46.02,6.54,66.6,43.0,53.0,3.9,4.1,8.3,10.55,32,Flood,1,Powdery Mildew,0.408,Mild,888,5.1
FDP-00956,Cotton,Jharkhand,Rabi,Sandy,28.7,64.9,100.38,6.87,53.0,57.3,51.2,4.2,7.1,17.1,14.94,68,Sprinkler,1,Mosaic Virus,0.569,Moderate,4521,36.0
FDP-00957,Soybean,Gujarat,Kharif,Sandy Loam,22.0,67.6,115.08,6.36,55.9,42.5,55.7,16.1,9.4,7.0,8.19,87,Flood,0,Rust Disease,0.834,Severe,16364,72.0
FDP-00958,Cotton,Bihar,Zaid,Black Cotton,14.4,86.5,222.6,6.07,45.6,37.3,44.7,5.2,8.7,4.4,19.86,96,Drip,1,Downy Mildew,0.756,Severe,21894,70.7
FDP-00959,Wheat,Tamil Nadu,Rabi,Black Cotton,24.5,53.5,101.72,6.76,75.0,58.0,70.0,20.2,5.2,12.2,8.43,101,Flood,0,Healthy,0.026,None,0,0.0
FDP-00960,Maize,Andhra Pradesh,Rabi,Clay,20.7,66.3,37.55,7.45,59.0,49.9,54.6,3.5,5.6,12.2,21.45,89,Drip,0,Powdery Mildew,0.382,Mild,689,14.7
FDP-00961,Soybean,Jharkhand,Zaid,Silty Clay,23.6,82.6,161.06,6.06,50.8,41.3,46.8,19.8,6.7,11.8,1.73,25,Rainfed,0,Anthracnose,0.416,Mild,1374,8.8
FDP-00962,Barley,Andhra Pradesh,Zaid,Sandy,28.1,78.0,183.41,6.14,57.0,42.0,44.6,3.2,7.2,7.3,7.48,54,Drip,1,Leaf Blight,0.376,Mild,1672,16.7
FDP-00963,Maize,Maharashtra,Rabi,Black Cotton,30.3,83.9,178.71,6.17,56.2,37.9,51.6,13.5,7.9,8.8,5.54,110,Sprinkler,1,Leaf Blight,0.304,Mild,844,17.2
FDP-00964,Rice,West Bengal,Zaid,Sandy,22.0,51.2,126.46,6.85,81.1,65.6,72.5,21.0,6.9,11.2,4.33,68,Rainfed,1,Healthy,0.017,None,0,0.0
FDP-00965,Maize,Haryana,Kharif,Sandy,20.4,61.0,51.93,7.56,49.6,44.0,62.3,6.9,11.8,3.4,2.98,79,Rainfed,0,Powdery Mildew,0.697,Moderate,3741,24.6
FDP-00966,Maize,Jharkhand,Kharif,Loam,25.6,53.3,84.06,6.6,88.3,59.7,72.5,5.5,7.7,12.5,20.89,67,Furrow,1,Healthy,0.011,None,0,0.0
FDP-00967,Rice,Gujarat,Rabi,Sandy Loam,23.8,69.9,136.45,5.92,53.4,48.2,40.4,6.2,6.0,15.2,15.55,30,Drip,1,Rust Disease,0.54,Moderate,6797,25.9
FDP-00968,Rice,Madhya Pradesh,Kharif,Sandy Loam,19.7,86.9,256.85,5.54,37.5,24.6,40.5,22.2,10.3,1.3,20.51,111,Furrow,0,Root Rot,0.852,Severe,9371,48.4
FDP-00969,Wheat,West Bengal,Rabi,Silty Clay,18.7,85.6,244.13,4.99,27.7,27.0,37.6,24.8,10.2,6.0,6.5,112,Rainfed,1,Root Rot,0.631,Moderate,4760,35.1
FDP-00970,Cotton,Maharashtra,Rabi,Red Laterite,28.9,80.6,166.15,6.79,57.0,43.5,54.3,8.7,6.6,12.6,9.06,61,Rainfed,1,Leaf Blight,0.728,Moderate,4916,41.8
FDP-00971,Wheat,Tamil Nadu,Rabi,Red Laterite,14.9,85.8,185.63,6.42,49.1,36.3,40.9,11.0,4.5,4.8,19.93,66,Drip,0,Downy Mildew,0.721,Moderate,6346,27.0
FDP-00972,Tomato,Andhra Pradesh,Rabi,Sandy,33.0,75.1,151.83,5.89,42.4,40.7,54.5,19.6,10.7,14.7,0.91,102,Furrow,1,Bacterial Wilt,0.589,Moderate,3539,20.1
FDP-00973,Cotton,Rajasthan,Kharif,Black Cotton,20.9,69.6,122.31,6.24,54.4,43.2,54.7,9.4,11.9,3.7,13.15,20,Rainfed,1,Rust Disease,0.463,Mild,1492,11.0
FDP-00974,Rice,Jharkhand,Rabi,Sandy,19.5,73.4,147.82,6.33,52.4,53.6,44.6,3.3,10.7,12.0,10.4,75,Rainfed,0,Rust Disease,0.506,Moderate,3598,37.8
FDP-00975,Sorghum,Uttar Pradesh,Zaid,Silty Clay,27.1,63.8,73.01,6.86,58.6,36.1,51.7,5.4,8.6,12.3,18.17,31,Drip,1,Mosaic Virus,0.511,Moderate,7513,44.9
FDP-00976,Sugarcane,Punjab,Kharif,Sandy,28.4,68.2,115.67,5.45,38.0,29.9,38.6,15.9,9.4,11.9,21.6,76,Flood,0,Fusarium Wilt,0.448,Mild,1851,15.5
FDP-00977,Wheat,Jharkhand,Kharif,Loam,23.1,52.3,116.17,6.44,84.2,75.5,77.1,22.3,8.7,14.2,6.59,64,Flood,1,Healthy,0.072,None,0,0.0
FDP-00978,Rice,Jharkhand,Zaid,Clay,22.4,78.3,125.8,6.58,49.4,41.4,53.1,15.4,5.0,17.4,20.38,83,Drip,1,Rust Disease,0.857,Severe,18905,75.5
FDP-00979,Sorghum,Rajasthan,Kharif,Black Cotton,22.1,91.9,201.24,5.83,42.6,36.1,51.5,7.0,6.1,4.5,19.24,63,Furrow,1,Anthracnose,0.976,Severe,22318,73.3
FDP-00980,Rice,Punjab,Rabi,Sandy Loam,25.9,52.7,102.06,6.83,85.7,51.6,57.3,3.7,4.3,12.8,11.24,26,Furrow,1,Healthy,0.094,None,0,0.0
FDP-00981,Rice,Haryana,Zaid,Loam,35.9,85.1,136.14,5.51,29.4,33.9,41.3,15.9,11.2,15.7,22.32,55,Furrow,1,Bacterial Wilt,0.816,Severe,18184,47.2
FDP-00982,Soybean,Telangana,Rabi,Loam,22.2,83.8,217.97,5.58,41.6,32.0,29.8,18.9,10.9,17.0,5.44,61,Furrow,0,Root Rot,0.765,Severe,15279,48.7
FDP-00983,Sugarcane,Odisha,Rabi,Clay,23.2,49.2,111.47,6.69,90.6,63.3,66.8,3.5,8.3,13.2,5.78,52,Rainfed,0,Healthy,0.068,None,0,0.0
FDP-00984,Potato,Karnataka,Kharif,Black Cotton,25.0,56.0,110.06,7.13,76.4,71.2,64.0,19.6,11.9,6.9,10.57,117,Furrow,0,Healthy,0.032,None,0,0.0
FDP-00985,Rice,Tamil Nadu,Rabi,Red Laterite,19.3,85.4,267.53,5.58,30.5,28.0,33.1,8.7,5.9,13.5,0.69,88,Flood,1,Root Rot,0.647,Moderate,7768,44.2
FDP-00986,Cotton,Tamil Nadu,Kharif,Red Laterite,22.0,58.5,103.19,6.92,70.0,68.0,78.7,12.3,6.8,15.2,19.08,41,Drip,0,Healthy,0.092,None,0,0.0
FDP-00987,Sugarcane,Madhya Pradesh,Zaid,Sandy,14.6,89.0,180.09,6.54,54.5,31.1,50.0,19.1,6.0,13.4,18.82,119,Drip,0,Downy Mildew,0.684,Moderate,4764,30.6
FDP-00988,Cotton,Punjab,Rabi,Sandy,18.7,82.0,234.47,5.77,37.7,24.6,37.3,17.7,7.4,11.1,18.48,82,Sprinkler,1,Root Rot,0.787,Severe,14392,69.5
FDP-00989,Rice,Telangana,Kharif,Loam,22.3,87.8,275.51,5.99,38.9,28.7,26.5,19.4,9.8,3.4,21.99,116,Sprinkler,0,Root Rot,0.62,Moderate,3340,34.4
FDP-00990,Sugarcane,Maharashtra,Rabi,Clay,22.9,62.5,44.59,6.34,56.7,45.7,55.7,17.2,8.4,3.1,3.26,42,Drip,0,Powdery Mildew,0.554,Moderate,6715,22.5
FDP-00991,Maize,Karnataka,Rabi,Sandy,16.2,89.3,191.36,6.54,42.7,35.6,47.3,20.7,10.6,10.7,8.0,36,Drip,0,Downy Mildew,0.549,Moderate,5881,24.5
FDP-00992,Barley,Andhra Pradesh,Zaid,Loam,25.3,49.7,81.74,6.47,82.9,58.5,58.8,7.4,8.7,16.7,18.83,70,Rainfed,0,Healthy,0.025,None,0,0.0
FDP-00993,Soybean,Tamil Nadu,Rabi,Loam,26.5,59.9,77.26,6.74,78.2,62.9,71.4,6.0,7.0,1.5,3.86,91,Rainfed,0,Healthy,0.078,None,0,0.0
FDP-00994,Rice,Odisha,Rabi,Red Laterite,28.4,74.9,129.18,5.81,40.7,28.7,34.6,5.5,9.0,8.1,15.53,98,Sprinkler,1,Fusarium Wilt,0.743,Moderate,5646,29.2
FDP-00995,Rice,Karnataka,Kharif,Sandy,25.5,59.0,109.98,6.79,73.5,50.8,75.1,6.1,7.0,9.0,10.78,100,Drip,0,Healthy,0.059,None,0,0.0
FDP-00996,Sugarcane,Tamil Nadu,Rabi,Black Cotton,31.5,69.4,151.98,5.72,44.3,30.2,37.1,14.5,10.4,1.6,24.61,27,Rainfed,0,Fusarium Wilt,0.639,Moderate,7280,37.6
FDP-00997,Maize,Punjab,Kharif,Loam,26.5,79.7,153.54,6.11,53.8,36.9,47.1,17.5,7.5,10.5,1.92,106,Rainfed,0,Leaf Blight,0.869,Severe,8647,58.8
FDP-00998,Barley,West Bengal,Rabi,Sandy Loam,18.6,89.1,204.11,6.65,50.0,31.2,39.4,13.1,8.8,5.9,15.02,89,Flood,0,Downy Mildew,0.976,Severe,11844,51.3
FDP-00999,Maize,Bihar,Kharif,Silty Clay,19.5,74.4,129.46,5.57,53.5,35.8,54.4,23.5,5.6,14.0,1.08,117,Drip,1,Rust Disease,0.327,Mild,1677,8.1
FDP-01000,Barley,Telangana,Rabi,Red Laterite,23.3,48.9,95.44,6.49,76.8,52.0,57.8,8.9,9.3,16.6,10.31,19,Drip,0,Healthy,0.051,None,0,0.0
